spraaklocatie	het	is	stil	op	de	straat	maar	dan	ineens	klinkt	bij	een	van	de		huizen	het	gerinkel	van	glas	een	vrouw	stapt	ontdaan	naar	buiten	he	dat	is	nou	ook	toevallig	daar	loopt	juist	de	glaszetter	de	mevrouw	vraagt	of	hij	de	ruit	wil	repareren	maar	in	een	korte	tijd	sneuvelen	er	in	de	straat	heel	veel		ruiten	de	politieagent	let	nu	extra	goed	op	als	hij	door	de	straten	loopt	maar	dan	ziet	hij	op	de	hoek	van	de	straat	een	klein	jongetje	staan	het	jongetje	wil	net	met	een	steen	gooien	even	later	ziet	de	politieagent	het	jongetje	samen	met	de	glaszetter	lopen	de	agent	besluit	om	ze	beiden	aan	te	houden	maar	het	lukt	hem	niet	om	ze	te	pakken	te	krijgen
Grolloo	t	ɪs	stɪl	ɔp		strʌːt	mɑ	dan	ɔpiː̃s		bɛi	iː̃	fan	də	hus	husn		xərɪŋkəl		xlas		frɑuspəsɔː̃	kɔmt	fərɑldərɪːt	ɛ̃	butn		da	s		ɤuk		dɒː	lɒp	jyst	də	xlasɛdər	də	frɑu	fraːx	ɒf	hi	də	rut	wʏl	mɑːkŋ	mɑ	ɪn		kœrdə	tit	snøfəlt	ər	ɪn	də	strʌːt	hiːl		rut	rutn	də	plitsi	lɛt	nɑu		xud	ɔp	ɑz	ə	dʏːr	də	strʌːtn	lʌp	mɑ	dan	zœt	i	ɔp	də	huk	fan	də	strʌːt	n	klɛin	jɔŋki		ət	jɔŋki	wʏl	nɛt		n	stiː̃	smitn	eːbmpis	lʌːtər	zœt	də	plitsi	hət	jɔŋki		mɛt	də	xlasɛdər	loːpm	də	plisi	bəslœt	œm		bɛidə	ɑn	tə	hɒːln	mɑr	ət	lʏk		nit	œm	sə	tə			
Grouw	ət	ɪs	stɪl	ɔp		strɪtə	mɑ	dan	ijɪnn		bei	ɪː̃	fan	də	huːs	hysn	ət		fan	ɡlɛːs	ə	frau	stapt	tixəskrɒkŋ	nɑi	butn		dɑt	ɪs		ɛk	təfɑləx	da	rɪnt			ɡlɛːsɛtər	də	frau	freixət	dɑt	hɛi	ət	ryt	ʋɒl	mɑitʃə	mɑr	ɪn		kuɑtskɔfkə			ər	ɪn	də	strɪtə			ryt	rytn	də	pliʃə					əp									ʃɔxt	hɛi	ɔp	ə	hukə	fan	də	strɪtə	ə		jɔŋkjə		ət	jɔŋkjə	zɪl	krɛkt		ən	stɪːn	smitə	ɛfkəs	lɛtər	ʃɔxt	də	pliʃə	ət	jɔŋkjə	təɡɛrə	ma	də	ɡlɛːsɛtər	rɪnn	də	pliʃə	bəslyt	ɔm	harn	ɑlətʋaː	ʊːn	tə	hɒːdn	ma				nɛt	ɔm	harn	tə	pakə	tə	kræiə
Heerewaarden	t	ɪs	stɪl	ɔp		stʀʌːt	mɑ	dɑn	nɪːns	klɪŋkt	bɛi				hays			çəʀɪŋkəl		çlɑs	ə	fʀɑu	stapt	oufəstyː	na	bœytə	hei	dæ	s		ouk	tufaləç	dɒː	loup	nɛt	də	çlasætəʀ	də	fʀɑu	fʀʌːçt	ɒf	i	də	ʀayt	wɪl	maːkə	ma					çɒːnkəpɒt	də								də	plisi	kɛk	nɑu	ækstʀa	çud	ɑɯt	æs	i	dʏːʀ	də	stʀɒːtə	lɒpt	mɑ	dɑn	zit	i	ɔp	dən	huk	fɑn	də	stʀɒːt	ə	klæːn	mænəkə		ət	mænəkə	wɪl	næt		ənə	steːn	çʊiə	ɛfkəs	lʌːtəʀ	sit	də	plisi	ət	mænəkə	saːmə	mɪt	də	çlɑsɛtəʀ	loupə	də	plisi	bəslœt	ɔm	zə	bæi	ʌː̃	tə	haːuə	mɑʀ	ət	lʏkt	əm	ni		sə	tə			
Hoeven	t	ɪs	stɪl	ɔp		stʀʌːt	mɑʀ		ənɪː̃s	klɪŋkt	bɛi	ɪːn	fan	d	œys	œyzə		çəʀɪŋkəl	fa	çlas	ən	fʀɑu	stɑpt	ɑː̃çədɑːn	nə	bœytə	hei						dʌ	loup	jyst		çlɑsætəʀ	də	fʀɑu	fʀʌːçt	ɒf	ti	də	ʀœyt	wʏl	mʌːkə	maʀ					snøfələ	dər	ɪn	də	stʀʌːt	hiːl	fʏl		ʀœytə	də	plisi	kɛk	nɑu		çud	œːt	ɑt	i	dʏːʀ	də	stʀʌːtə	loupt	mɑ	dɑn	zid	i	ɔp	dən	uk	fan	də	stʀʌːt	ə	klɛin	mɑnəkə		ət	mɑnəkə	wʏl	næt		nə	steːn	çuiə	ɛfə	lʌːtəʀ	sit	də	plisiəçænt	ət	mɑnəkə		mæt	də	çlɑsætəʀ	lɤupə	dən	açænt	bəslœt	ɔm	zə	ɑləbæi	ɑː̃	t	hɑuə	maʀ	t	lʏkt	əm	ni	ɔm	zə	tə	pakə		
Hollum	ɪt	ɪs	rʏstəx	ɪn		lʊːn	mɑr		ənɪːnn		bɛi	ɪːn	fan	də	hys	hyːzn						frɒuspəsɔː̃	kɔmd	oufəstyː	nə	bytn										də	ɡlɑːjiəsɛtər	də	frɒu	fraːɡt	ɒf	hɛi		ɡlɑs	ʋɪl	maːkə	mar	ɪn			bəstɛk	snøfələ	ər	ɪn		lʊːn	hʏːl	fʏːl		xlaːzn	də	pliʃə				ɡuːt		az	i	dʏːr	də		loupt	ma	da	siːd		ɔp	ə	huk	fan		lʊːn	ə	klɛin	jɔː̃əcə				ʋɪl	krɛkt		ə	stɪːn	smitə	eːfə	laːtər	siːt	də	pliʃə			təxaːrə				loupən	də	pliʃə	ʋʏl		sə		ɑn		hɑuə	maːr				niːt		sə	tə	pakŋ		
Horn	hɛt	ɪʃ	ʃtɪl	ɛn		ʃtʀɒːt	mɑ	dɑn	ɔpɛns	klɪŋkt	bi	ein	fɑn	də	huːs	huzəʀ		çəʀɪŋkəl	fɑn	çlaːs	ən	fʀɒu	ʃtɑpt	çəʃʀʊkə	nɑ	buːtə	hei	dat	ɛz	nɯ		təfɑləç	dʌː	lœpt	kʀɛk	də	çlaːsætəʀ	də	fʀɒu	fʀʏːçt	ɒf	hɛi	də	ʀuːt	wʏlt	maːkə	mæʀ	ɛn	ɛinə	kɒʀtə	tiːt	ʃnøfələ		ɛn	də	ʃtʀɒːt	hiːl	fœːl	ʀut	ʀuːtə	də	pliʃəmɑn	læt	ny	ækstʀə	çʊt	ɔp	ɑs	təʀ	dʊːʀ	də	ʃtʀɒːtə	lœpt	mɑ	dɑn	zyːt	hɛ	ɔp	ə	hʊːk	fʌn	də	ʃtʀɒːt	ɛn	klen	mænkə		hət	jʏŋskə	wɪlt	næt		ənə	ʃteːn	çʊiə	ɛfə	laːtəʀ	zyːt	də	plis		jʏŋskə	saːmə	mæt	də	çlaːsætəʀ	lʌupə	də	plis	bəʃlyt	ɔm	zə	ɑləbæi	aːn	tə	hɒiə	mɑʀ	ət	lœkt	əm	nɪt		zə	tə	pɑkə	tə	kʀiçə
Houthulst	t	ɪs	stɪl	ɪn		strɔːtə			ɔməkɪr			eːn	fɑn	d	ys	yzn				hlɑs		frɔumɛː̃s	kɔmt	dʊːtfəsχoːtn	nɔ	bytn							dʊː	lɔp	ɟystə	də	rytəfəmʌːkər		mɑdam	frʌːχt	ɒfdɑt	m	də	rytə	wɛlt	fəmʌːkŋ	mʌ	ɛn		hɪː̃	tɪt	hɒːnkʌpɔt	dər	ɛn	də	strɔːtə			rytə	rytn	də	pəlisi	læt	ny		hud	œp	ɒst	m	dʏːr			lɒpt	mɒ	tun	ziːt	m	ɔp		uk	fʌ	də	strɒːtə	ə	klɪːn	fɛncə			fæncə	wɛlt	ʒyst		ə	stɪː̃	smitn	əbecə	lʌtər	ziːt	n	ɑχɛnt			təhɒːrə	mæt	də	rytəfəmʌːkər	loːpm	n	ɑχɛnt	bəslyt	ɔm	zə	ʊlətweːə	ɑn	t	un	mɒ				ni		sə		pɑkŋ		
Huizen	t	ɪs	stɪl	ɔp		strɪːt	mɑr	danʲ	ɪnɪːnn	klɪŋkt	bɛi	ɪːn	fanʲ		hœys	hœyzən		xərɪŋkəl		xlas		fraumɪns	kɔmt	stɪkbədyːst	nɪ	bœytn		da	z	na	oːk	tufɑləx	dɪːr	loːp	nɛt	də	xlasɛtər			frʌːxt	ɒf	tei	də	rœyt	ʋʏl	mʌːkə	mɑr	ɪn		kɒrtə	tɛit	xɪnkəpɔt	dər	ɪn	də	strɪːt	hɪːl	fyːl		rœytə	də	plisi	lɛt	nɑu		xut	ɔp	ɑs	ti	dʏːr	də	strɪːtn	loːpt	mar	danʲ	sit	i	ɔp	də	huk	fanʲ	də	strɪːt	ən	klɑin	juəncə		t	juəncə	ʋʏl	nɛt		ə	stɪː̃	xʊiən	ɛfə	lɑːtər	zit	də	plisi	t	jʊːncə	sɑːmə	mut	də	xlasɛtər	loːpm	də	plisi	ʋʏl		zə	ɑləbai	ɑnʲ		hɑuən	mar	t	lʏkt	əm	næit		sə	tə	pakə	tə	krɛia
IJmuiden	hɛt	ɪʃ	stɪl	ɔp		straːt	ma	danʲ	ɪnẽĩʃ		bɛi	ẽĩ	fɑn	də		hayʃə		xərɪŋkəl		xlɒʃ	ə	frɑu	stɑpt		na	baytə	hei	dɑt	s		ouk	tufɒləx				də	xlʌsɪtər		məfrɑu							maːkə	maːr					snøfələ	ɛr							raːmə	də	plitsi	kɛikt	ny			ayt							mar		sid	ə							ə		fɪncə		hɛt	jɔŋəcə	ʋʏl	nɛt		ə	stei	xʊiə	eifə	laːtər	sit	də	plitsixɪnt	hɛt	jɔŋəcə	sæːmm	mɪt	də	xlʌʃɪtər	loupə	də	axɪnt								maːr				nit		sə	tə	pɑkə		
IJsselmuiden	hɛd	ɪs	stɪl	ɔp		stʀɒːtə	mɑ	dɑn	ɪneːnkɪʀ	klɪŋkt	bei	eː̃	fɑn	də	hys	hyzn		xəʀɪŋkəl			ə	fʀɒuə	lœp	əsxʀœkŋ	nɔ	bytn		dɑ	s	nʊ	oːk	tufɑləx	dɑː	lœp	jyst	də	xlɑsɛtəʀ	də	fʀɒuə	fʀœx	ɒf	i	də	ʀytə	ʋʏl	maːkŋ	ma	ɪn		kœʀtə	tit		dəʀ	ɪn	də	stʀɒːtə			ʀytə	ʀytn	də	plisi	læt	nɒu	ɛkstʀa	xud	ɔp	ɑs	i	dʏːʀ			lœp	ma	dən	zit	i	ɔp	də	huk	fɑn	də	stʀɒːtə	əin	klɛin	jɒxi		t	jɒxi	ʋɪl	nɛd		ə	stɪː	xʊin	əpoːsi	laːtəʀ	sit	də	plisi	t	jɒxi	saːmm	mɛt	də	xlɑsɛtəʀ	loːpm	də	plisi	bəslœt	œm	hœn	bɛidn	ɑn	tə	hɒln	ma	t	lʏkt	əm	nit		sə	tə	pɑkŋ	tə	kʀiːɡŋ
Itegem	hɛt	ɪs	stɪl	ɔp		strɒːt			ɪnɪː̃s				fɑn	də		hɒəsə						frau		fərsçʌːtə		bɒətə		dɑt	wil			lykə	dʌ	lœpt		də	çlʊːzəmʊːkər	də	frau	frʊːçt	ɒf	hɛi		rœːt	wil		mɒ	ɪn	ə	kœtn	tæːt			ɪn	də	strɑːt				rɑːtə	də	çɑrdə				çɯ		ɑs	hɛ	dʏːr			lœp			siː	hɛ	ɔp	dən	hɯk	fɑn	də	strʌːt	ə		fɛŋkə	stɒːn	hət	fɛ̃ŋkə	wɪl	ʒyst		nə	stɪːn	smæːtə	əbekə	lɒːtər	ziː	də	çɑrdə	ət	feŋkə		mɛt	də	çlɔːzəmɔːkər	lɤːpə	də	çɑrdə	bəslœt		sə	ɑləbaː	ʊːn	tə	hæːvə					nɪ		zə		pɑkə		
Jubbega	ət	ɪs	stɪl	ɔp		dik			ɔpɪː̃s	kleŋkt	bai	ɪː̃	fan	də		huzn		ɡəreŋkəl		ɡlæːs		frɑməs	stapt	ustjuːr	na	butn		dɑ	s	nau	ɛk	tufɑləx	də	rɛnt	krɛk		ɡlɛːsɛtər	də	frau	freiɡət	ɒft	hɛi		ɡlaːs	ʋɒl	mɑitʃə	mɑr	ɪn		kuɑtə	tit	snøfələ	ər	ɪn	də	strɪtə				ɡlaːzn	də	pəliʃə	lɛt	nɒu	ɛkstrə	ɡuːd	ɔp	ɑz	hɛi	trʊ	də	strɪtə	rɪnt		dan	ʃɔxt	hɛi	ɔp	ə	hukə	fan	də	strɪtə	ən	lits	jɔŋkjə	stɪːn	ət	jɔŋkjə	ʋɔl	krɛkt		ən	stɛː̃	ɡʊiə	ɛfkəs	lɛtər	ʒɔxt	də	pəliziman	hɛt	jɔŋkjə	təjɛrə	mai	də	ɡlɛːsɛtər	rɪnn	də	pəlɪʃəmɑn	bəslyt	ɔm	də	bɑidə	ɑːn	tə	hɒːdn	mʌr	ət	lʏkt		nɛt		zə	tə	pɑkŋ	tə	krãĩ
Kampen	ət	ɪs	stɪlə	ɔp	də	stʀɒːtə	ma	dɑn	ɪneːns	klɪŋkt	bei	eːnə	fɑn	də	hys	hyzn		xəʀɪŋkəl		xlɑs	ən	fʀɒuə	stɒpt	ɔntdɔːn	nɔ	bytn	heː	dɛ	s	nə	oːk	tufɑləx	dʊː	lœp	jyst	də	ʀytnzɛdəʀ	də	fʀɒuə	fʀœx	ɒf	i	də	ʀytə	ʋʏl	maːkŋ	ma	ɪn		kɒʀtə	tit	snøfələn	dəʀ	ɪn	də	stʀɒːtə	iːl	føːlə	ʀytə	ʀytn	də	plisiæxɛnt	kɪk	nɒu	ɛkstʀa	xut	yt	ɑz	i	dʏːʀ	də	stʀɒːtn	lœp		dɑn	zit	i	ɔp	ən	huk	fɑn	də	stʀɒːtə	ən	klɛin	jɔnxi		ət	jɔnxi	ʋɪl	nɛt	mɛt	ən	kɛiə	xʊin	iːbm	laːtəʀ	sit	də	plisiəxɛnt	hət	jɔnxi	saːmm	mɛt	də	ʀytnzɛdəʀ	loːpm	də	ɑxɛnt	bəslœt	ʏm	zə	ɑləbɛi	ɑn	tə	ɒln	maʀ	ət	lʏkt	əm	nit	œm	zə	tə	pɑkŋ	tə	kʀiɡŋ
Kerkrade	əd	ɪʃ	ʃtɛl	ɔp		ʃtʀɔəʃ	mɑʀ	dan	ɪnɛns	kleŋkt	bei	eːn	fɑn	də	huːs	huːzəʀ		jəʀiŋkəl	fɑ	jlaːs	ɪn	fʀʌu	kʏmt	jɑnsʊpjəʀɪçt	əʀ	uːs		dɑt	ɪs		oːç	soufɛləç	dʊː	løːft	jʀaːt		mɑː̃ndɛʀʀuːtəɪnsætst	də	fʀʌu	fʀʊːçt	ɒf	hɛ		ʀuːt	wɛl		ævəl	ɪ		kʊʀtə	tsiːt	ʃnøfələ		ɪn	də	ʃtʀɔəʃ	jɑns	fʏːl	ʀut	ʀuːtə	də	pʊlis	pɑːst	nun	ɛkstʀə	jʊt	ɔp	wɛnt	hɪːʀ	dœʀç	də	ʃtʀɔəsə	løːft	ævəl	dan	ziːt	hɪːʀ	ɔp		ɛk	fan	də	ʃtʀɔəʃ	ə	klɪn	jʏŋʃə		ət	jʏŋʃə	wɛlt	jʀaːt		nə	ʃteː	wæʀpə	ɛfə	ʃpiːdəʀ	ziːt	dəʀ	pʊlis	ət	jʏŋʃə	təzaːmə	mɪt	dəʀ	jlaːskɪəl	loːfə	dəʀ	pʊlis	næmtsiçfyːʀ	œm	sə	ɑlətswai	aː	tsə	hʊːdə	ævəl				nɪt	œm	zə	tə			
Koekange	t	ɪs	stɪl	ɔp		strʌːdə	ma	dan	niː̃s		bei	iːnə	fan	də	hys	hyːzn		xərɪŋkəl	fan	xlas	ə	frɑuə	kʌ̃mt	xəsxrœkŋ	nɑ	bytn	heː	da	z	nau		tufɑləx	dɑː	lʌp	nɛt	də	xlasɛdər	də	frɑuə	frɑx	ɒf	hɛi	də	rudə	wɪl	maːkŋ	mar	ɪn		kɒrdə	tit	snøfəld	dər	ɪn	də	strʌːdə	hɪːl	føːlə	rudə	rudə	də	plɪtsi				xut		az	i	dʏːr			lœp	ma	dan	sit	he	ɔp	də	hɯk	fɑn	də	strʌːdə	ən	klɛin	jɒ̃xi			jɒ̃xi	wɛl	nɛd		n	stiː	xʊin	ɪːbm	læːtər	sɛt	də	plisi	hɛt	jɒ̃xi	saːmm	mɛt	də	xlasɛdər	loːpm	də	plisi	bəslœt	œm	zə	ɑləbɛi	an	t	hɒln	mar	ət	lœkt	əm	nit	œm	zə	tə	pakŋ	tə	kriɡŋ
Kudelstaart	hɛt	ɪs	ʃtɪl	ɔp		ʋɛx	mɑr		plɔtsəlɪŋ											xlɑs		fraːu										tufʌləx	daːr	kɔmt			xlʌsɛtər	də	fraːu	fraːht	ɒf	hɛi	də	rayt		maːkə	mɑr					breikə	ɛr	ɪn	də	straːt				rœytə	də	pəlitsi	lɛt			xut	ɔp	ɑls	hɛi	dʊːr			loupt	mɑr		sit	hɛi	ɔp	də	huk				ən	klɑin	fɛncə				ʋɪl		mɛd	ə	stein	hʊiə	eifə	laːtər	zit	də	pəlitsi	hɛt	kɪrəlcə		bɛi	də	xlɑsɛtər		d	axɛ̃nt	ʋɪl			bɛidə	aːn		hɑudə	mɑr		lœkt		nit						
Laren	hɛt	ɪs	stɪl	ɔp	də	strʌːtə			ɔpɛns		bi	eːn	fa	də	hys	hyːzə					ə	frʌuə	kʏmp	hɪːləmɔɒːfəstʏːr	nɑ	bytn		dɑ	z		ɤuk	tufɑləx	dɒː	lœp	nɛt		rutnzɛtər	də	frʌuə	frœx	ɒf	hɛi	də	rutə	ʋʏlt	maːkŋ	mʌr	ɪn			zɛːt	xɒːtkəpɔət	ər	ɪn	də				rutə	rutn	də	plytsi			ɛkstra		ɔp	ɑs		dʏːr			loːpt			zʏt								ən		jʏŋskə				ʋʏl		mɛd	ə	kɛi	xʊin	ɛfkəs	dənʌː	sʏt	də	plytsikɪəl	ət	jʏŋskə		mɛt		xlasɛtər	loːpm										mʌr	hət	lʏkt	həm	nɪt	œm	zə	tə	pakŋ	tə	kriɡŋ
Leersum	hɛt	ɪs	stɛl	ɔp		ʋɛç				klɪŋkt	bɛi							çərɪŋkəl		çlas		frau	stapt	ɔndaːn	na	bœytə						tufaləç	daːr	loup		də	çlasɛtər	də	frɑu	fraːçt														ɪn	də	straːt				rœytə	də	ʋɛikæçɛnt											lɤupt		dɑn	zit	hɛi					də	straːt			jɔŋəcə				ʋɪl			ə	stein	xʊiə			zit					saːmə				lɐupə	də	açɛnt								mar	ət	lœkt		nit	əm	zə	tə	pakə	tə	krɛiçə
Lemmer	hət	ɪs	stɪl	ɔp		strɪtə		dɑn	ɪneː̃s	klɪŋkt	bai	ɪː̃	fan	də	hyːs	hyzn	ət	ɡərɪŋkəl	fan	ɡl  ̴ɛːs	ə	frau	stap	ostjuːr	nɑi	bytn	hei	dɑ	s			təfɑləx	də	rɔnt	krɛk		ɡlɛːsɛtər	də	frau	freiɡət	ɒf	hɛi	ət	ryt	ʋɒl	mɑitʃə	mɑr	in	ən	kœːtə	tiːt	snøfələ	ər	in	də	strɪtə			ryt	rytn	də	pliʃə	lɛt	nɑu	ɛkstra	ɡuj	ɔp	ʋɑnɪːr	hɛi	trʊ	də	strʏtn	rɔnt	mɑr	dɑn	ʃʏt	hɛi	ɔp	ə	hukə	fɑn	də	strʏtə	ən	lits	jɔŋkjə		ət	jɔŋkjə	ʋɔl	krɛkt	mɑi	ən	stɪː̃	ɡʊiə	eifə	lɛtər	ʃʏt	də	pliʃə	ət	jɔŋkjə		mai	də	ɡlɛːsɛtər	rɔnn	də	pliʃə	bəslyt	ɔm		bɛidə	ɑːn	tə	hɒːdn	mɑr	ət	lʏkt	əm	nɛt	ɔm	zə	tə	pakŋ		
Lokeren	t	ɪs	stɔl	ɔp		strɔːtə	mɒr		ɪnɛnəkir		bɛi	iːn	fɑn		øːz	høːzn			fɑ	çlɑs	ə	frɔː	kɔm	prəsiːsfandəryːrn	nɑ	bøːtən		dɑ	woːl	nʌ		lækən	də	lœp	ʒyst		çlʊːzəmʊkərə		mɑdɑm	frʊːçt	ɒfdɑt	hɛ		rœːtə	wʊl		mʌr					çɒːnnədəfoːncəs	dər	ɪn		strʊːtə				rœːtn	də	ʃɑmpætərə		nɔː		çut		ɑst	hɛ	dʏːr			lœpt	mɑ	dæː	zit	m	œp	dən	ɯk	fɑnʲ	t	strʊːtə	ə	klɛːn	bɒskə	stʌnə			wʊl	ʒyst		nə	stiən	smetn	əbeːcə	nɐdin	zit	də	ʃɑmpætərə			təsʊːmm	mɪt		çlʊːzəmʊkərə	løːpən	də	ʃɑmpætərə	wʊl		ʊldər	ɑlətwiə	ɒn		ɒːn	mɒr				ni		sə				kreːn
Lommel	t	ɪs	stɪl	ɔp	də	strɔːt	mɑr	dɑn	ɔpeins	klɪŋkt	bɛi	eːn	fɑn	də	hœːs	hœøzə	ət	çərɪŋkəl	fɑn	çlɑs		frɑməs	kʏmp	fərbɑuərɪːrt	nɑ	bœytn		da	s	nə	ɤːk		dɒːr	lʏpt	ʃyst		çlɒːzəmʌːər		frɑməs	frøːçt	ɒf	i	də	rœːt	wɪlt	repərɪːrn	mɑr					snøfələn	dər	in	də	strɔːt	hɪːl	føːl		rœitən	də	pəlis	lɛt	nəu		çut	ɔp	ɑs	i	dʏːr	də	strʊːtə	lʏpt	mɑr	dɑn	zi	i	ɔp	dən	huk	fɑn	də	strʊːt	ə	klæːn	mænəʔə		ət	jʏŋskə	wɪlt	ʃyst	mɪ	nə	stein	smɛitn	æfkəs	lɒtər	sit	də	pəlis	ət	mænəʔən	çəlɛik	mit	də	çlɔːzəmʌːər	loːpən	də	pəlis	dɛŋktərænʲ	fɑn	zə	ɑləbæi	æn	tə	hʌːuən	mɑr	t	lʏkt	əm	niː	vɑn	zə	tə	pɑkŋ	tə	krɛeçn
Lunteren	t	ɪs	stɪl	ɔp		strɑːt	maːr	dan	plɒtsəlɪŋ	klɪŋk	bei	ɪː̃	fan	də	hys	hyzə	ət	rɪŋkələn	fɑn	çlɑʃ		ʋiːf	stapt	heiloufəstyːr	nə	bytə	hei	dɑ	s	nʊ	ouk	tufɑləx	dɑː	loup	jyst	də	xlasɛtər			frɑːxt	ɒf	hɛi	də	ryt	ʋʏl	mʌːkŋ	mar	ɪn		kɒrtə	tit	snøfələ	dər	ɪn	də	strʌːt	hɪːl	fʏːl	ryt	rytə	də	pəlisi	kik	nu		çut	yt	as	i	dʏːr	də	strʌːtə	loupt	mɑ	dan	zit	i	ɔp	də	hʊk	fɑn	də	strʌːt	ən	klɛin	kɪːrəlcə			jɔŋəcə	ʋʏl	nɛt		ə	stɪːn	xʊiə	ɛfə	lʌːtər	sit	də	pəlisi	ət	jɔŋəcə	sɑːmən	mɛt	də	xlasmɑːkər	loupə	də	pəlisi	bəslyt	ʌm	zə	ɑləbɛi	ɑn	tə	hɑuə					nit		zə	tə	pɑkə		kriçə
Maldegem	t	ɪs	stɛl	ɔp		strʏtə	mʌr		ɒmɛnəkir			ɪːnə	fɑn			hʏːzn				χlɑs			kɔm	fiːfəsχoːtn		bytn			mu			lækŋ		pɑsiːrt	ʒyst		rytəmɒkrə			frʊχt	ɒf	ti		rytə	wɛl	mʊːkŋ	mər	ɔp		kɒrtn	tɛit	fliχənkʌpɔt	dər	ɛn	də	strʊːt		feːl	rytə	rytn	də	ʃɑndɑrm	kɪk	nɛi		χu	rɔnt	dæːsdɑt	i	dʏːr			lœpt	mər	tʊː̃s	sit	i	ɔp	dən	uk	fɑn	də	strʏtə						mɒnəkə	wɛl	ʃystə		nə	kæi	smitn	əticə	lœtrə	sit	də	ʒɑndɑrm			tɯpə	mɪt	də	rytəmɒkr	lʏpm	də	æχæː̃t	χət		sə	ɑlətwɪə			pɑkŋ	mər				ni		sə		fʌstə		
Marken	ət	ɪs	stɪl	ɔp		strɛit	mɑr		əniːns		bɛi	eː̃	fɑn	də	hays	haysə		xəriŋkəl	fɑn	xlas			stɑpt	eiləxʌːrɑndein	nei	bœytə	hɛ	dɑ	z	nə	ouk	tufɑləx	də	loupt	nɛt	də	xlasɛtər			freixt	ɒf	i	də	rayt		mʌːkə	mɑr					xɛ̃təbarstə	də	ɪn	də	strɛit				rœytə	də	pəlisi	lɛt	nɑu	ɛkstra		ɔp	ɑs	i	dʏːr	də	strɛitə	lɒpt	mɑ	dɑn	sit	i	ɔp	də	hoːk	fɑn	də	strɛit	ən	klɑin	jɔŋəcə		hət	jɔŋəcə	wʏl	nɛt		ə	stiː	xɤiə	ɛfə	dənɛi	zit	də	pəlisi	ət	jɔŋəcə		mɪt	də	xlasɛtər	lɑupə	də	pəlisi	neimtəbəslayt	ɔm	zə	ɑlətʋei	aːn	tə	hɑuə	mʌr	ət	lʏkt		nit	ɔm	zə	tə			kraːə
Middelharnis	t	ɪs	stɪlə	ɔp		straːtə	mɑr		ənɪːns		bi	ɪː̃	fɑn	də	hys	hyzən				xlɑs	ən	frauə	stapt	hɪːləmaːlʌufərdətuːrn	næ	bytən		da	s	nə	ʌːk	tufɑləχ	dɑː	lʌp	jyst	də	xlaːzəzɛtər	də	frauə	fræːχt	ɒf	ti	də	rytə	wɪl	mæːkə	mɑr	ɛn		kɒrtə	tit	snøfələ	ər	ɛn	də	straːtə			rytə	rytn	də	pəlɪsi	læt			χud	ɔp	ɑst	i	dʏːr	də	straːtən	lʌpt	mə	dɑn	sit	i	ɔp	də	huk	fɑn	də	straːtə	ən	klɛin	fæncə		hət	fæncə	wʏl	næt		ən	stɪː̃	χʊin	eːfə	læːtər	zit	də	plitsi	ət	fæncə	sæːmm	mæt	də	xlaːzəzætər	lɑːpə	də	plɪsi	bəslyt		sə	ɑləbæiə	ɑn	tə	haːuən	mar	ət	lœkt	əm	nɪt		sə	tə	pɑkən	tə	krɪxn
Naaldwijk	hɛt	ɪs	stɪl	ɔp		stʀaːt	mɑʀ	dɑn	ɪnẽĩs	klɪŋkt	bɛi	ein	fɑn	də	hays	hayzə	hɛt	xəʀɪŋkəl	fɑn	xl  ̴ɑs	ə	fʀaɯ	stɒpt	xəsxʀʊkə	na	bœːtə		dɑt	ɪz	nə	ɤuk	tufʌləx	da	lɤupt	jœyst	də	xlʌsɛtəʀ	də	məfʀaɯ	fʀɑːht	ɒf	hɛi	də	ʀœyt	ʋʏl	mɑːkə	mɑʀ	ɪn		kɒrtə	tait	snøfələ	əʀ	ɪn	də	stʀaːt	heil	fɤːl		ʀœytə	də	plisiɑxɛnt	lɛt	nʏ	ɛkstʀə	xɯt	ɔp	ɒls	ə	dʊːʀ	də	stʀaːtə	lɤupt	mɑ	dɑn	zit	hɛi	ɔp	də	huk	fɑn	də	stʀaːt	ən	klain	jɔŋəcə		hət	jɔŋəcə	ʋʏl	nɛt		ə	stein	xɤiə	eifə	lɑːtəʀ	zit	də	pəlisi	ɛt	jɔŋəcə	sɑːmm	mɛt	də	xlʌsɛtəʀ	lɤupə	də	ɑxɛnt	bəslœyt	ɔm	sə	ʌləbai	ɑːn	tə	hɑudə	mɑʀ	ət	lʏkt		nit	ɔm	zə	tə	pɑkə	tə	kʀaixə
