spraaklocatie	het	is	stil	op	de	straat	maar	dan	ineens	klinkt	bij	een	van	de		huizen	het	gerinkel	van	glas	een	vrouw	stapt	ontdaan	naar	buiten	he	dat	is	nou	ook	toevallig	daar	loopt	juist	de	glaszetter	de	mevrouw	vraagt	of	hij	de	ruit	wil	repareren	maar	in	een	korte	tijd	sneuvelen	er	in	de	straat	heel	veel		ruiten	de	politieagent	let	nu	extra	goed	op	als	hij	door	de	straten	loopt	maar	dan	ziet	hij	op	de	hoek	van	de	straat	een	klein	jongetje	staan	het	jongetje	wil	net	met	een	steen	gooien	even	later	ziet	de	politieagent	het	jongetje	samen	met	de	glaszetter	lopen	de	agent	besluit	om	ze	beiden	aan	te	houden	maar	het	lukt	hem	niet	om	ze	te	pakken	te	krijgen
Dokkum	ət	ɪs	stɪl	ɔp	ə	straːt	ma	dan	ɪniː̃s									ɡərɪŋkəl		ɡlɑs	ə	frau											də	loupt	krɛk	də		də	frau	fraːxt	ɒf						mɑr	ɪn	ən	kɒrtə	tiːt	snøfələ	dər							rytn	də	plisi	siət			ɡuːt	ɒmmhein	ɑt	ər	dʊr		straːtn	loupt	mɑ	dan	siːt	ər	ɔp	ə	hukə	fan	də	straːt	ə	klɛin	fɪntʃə				sɪl	krɛkt		n	stɪən	ɡʊiə	eifə	l  ̴atər	siːt	də	plisi	ət	jɔŋkjə		mɛd	də	ɡl  ̴asɛtər	lʌupən	də	plisi	bəslyt			bɛidn	aːn	tə	hɑudn					nit			tə	pakŋ		kræiə
Dordrecht	hɛt	ɪs	stɪl									ein	fɑn	də	hœys	hœyzə					ə	ʋɛːf	stɑp		nə	bœːtə	hei					tufɒləx	daːr				hlʌsbuːr	də	frɑu	frɑːxt						mɑːkə						snøfələ	ər							raytə	də	jyt	lɛt	ny		xut	ɔp	ɑls	hɛi	dʊːr	də	straːtə				sit	hɛi	ɔp	də	huk				ən	klɛin			hət	fæncə	wʏl	næt		ə	stein	xʊiə			sin	də	dindər	ət	knaːpi						də	dindər												nit		sə	tə	pɑkə		
Eelde	hət	ɪs	stɪl	ɔp		strʊːt	mʌr		ɪnɑ̃ĩs	klɪŋkt	bi	ɑ̃ĩ	fan	də		huzn		xərɪŋkəl		xlas	n	frɑːu	stap	ɔndɔːn	nə	butn	hei	dɑ	z		ouk	təfɑləx	dʊ	lɒp	nɛt		xlasɛtər			frax	ɒf	hɛi	də	rut	ʋʏl	mɒkŋ	mʌr	ɪn		kœːrdə	tit		dər	ɪn	də	strʊːt				rʊːmm	də	plitsiɑxɛː̃t	lɛt	nɑu	ɛkstrə	xɑut	ɔp	ɑz	ə					mʌr	dan	zʏt	e	ɔp		hɑuk	fən		strʊːt	ə	klain	kɪrli	stɒːn	hət	jɔŋki	ʋʏl	nɛt		n	stɑin	xʊin	eibm	lɔːtər	sʏt			ət	jɔŋki	sɔmm	mɛt	də	xlasɛtər		də	axɛː̃t	ʋɪ		zə	ɑːləbɑi	æː̃		hʌll	mʌr	hət	lʏkt	əm	nait	ɔ̃	zə	tə	pakŋ	tə	kriɡŋ
Ermelo	t	ɪs	stɪl	ɔp		strɔːt	mɛ		ɪneːns	klɪŋkt	bi				hys			xərɑməl		xlɑs	ə	frɑu	kɔmt	fəsxrɪkt	nə	bytn	hei	dɑ	z			tufɑləx		lœp	nɛt		xlʊːzəzɛtər	də	frɑu	fraːxt				ryt	kʏn	maːkə						breikənkəpɒːt	ər						ryt	rytn	də	dindər	kikt			xut	yt	ɑs	i	dʏːr			lœpt		dɑn	zit	i	ɔp	də	huk	fɑn	də	strʊːt	ə	klɛin	jɔŋəcə				ʋɪl	nɛt		ən	kɛi	xʊiən	ɛfə	lɒːtər	zit	də	dindər	hət	jɔŋəcə		mɛt	də	xlʊːzəzɛtər	rœnn	də	dindər								mɑr				nit		zə				krixə
Eys	hɛd	ɪʃ	ʃtɛl	ɔp		wɛç	mɑ	dan	ɪnɛns		bei	ein	fən		huːs	huːzəʀ		çəʀɪŋkəl	fa	çlɑːs	en	fʀɒu	kʏmt	əntsæːt	nə	buːtə	hɛ	dɑt	ɛz		ouç	tufɑləç	də	çeːt	jyst	də	çlɑːsætəʀ	də	fʀɒu	fʀʊːçt	ɒf	hɛ		ʀuːt	wʏlt	mʌːkə	maʀ				tiːt	ʃnøfələ		ɪn		stʀɔət	hiːl	fœːl	ʀut	ʀuːtə	də	blɑuə	lɛt	nu	ɛkstʀə	çut	ɔp	wɛnt	hɪːʀ	dœʀç			lʏpt	mɑ	dɑ	ziːt	hɪːʀ	ɔp		ɛk	fan		stʀɒːt	e	klɛn	jʏŋskə		hət	jʏŋskə	wɪlt	çʀaːt	mæd	ənə	ʃteː	bʀʏiə	æfə	spiːdəʀ	siːt	dəʀ	pʊlis	ət	jʏŋskə	sɑːmə	mæt	dəʀ	çlɑsætəʀ		dəʀ	pəlis		œm	zə		ɑː	tə	hɒdə	mɑʀ	ət	lœkt	əm	nɪt	œm	zə	tə			kʀiçə
Finsterwolde	t	ɪs	stɪl	ɔp		strʊːtə	mɒr		ɪnɒ̃ĩs	klɪŋkt		ɒ̃ĩ	fɑn	də	huz	huzn		xərɪŋkəl	fɑn	xl  ̴as	ə	frɑːu	ʂtapt	ɔndɔːn	nʊ	butn	hei	da	z	nɑu	ouk	təfɑləx	dʊ	lɒp	nɛt	də	xlʊːzənzɛdər	də	frɑːu	frɑxt	ɒf	hɑi	də	rutə	ʋʏl	repɑrɪːrn	mɒr					snøfəln	ər	ɪn	t	strʊːtə			rutə	rutn	də	plitsiɑxɛnt	lɛt	nɒ̃		xɑut	ɔp	az	ɛ	dʏːr	də	strʊːtn	lʌpt	mɒr	dɛn	sʏxt	hɛi	ɔp	d	hɑukə	fɑn	t	strʊːtə	n	løcə				jʌŋkjə	ʋɪl	nɛd		n	stɑinə	xʊin	eibm	lʊːtər	sʏxt	də	pəlitsi	t	jɔŋkjə	sʊmm	mɛt	də	xlʊːznzɛdər	loupm	də	plitsi	bəslʊt	ɔm		bɑidə	æː̃	tə	hʊːdn	mʌr	ət	lːʏkt	hɒm	nɑit	ɔm	zə	tə	pakŋ	tə	kriɡŋ
Gavere	t	ɑs	stil	in		strʊitə	mʌr	tʊːs	ɔmɛnəkir	klɪŋkt		inə	fɑn	d	œːz	œːzn		həklætər	fɑn	xlʊːs	ə	frɑːu	kɔmt	ɑː̃nhəsleːn	nə	bœːtn		dɑ	mu			lʏkŋ		lœpt	ʃyst	də	χlʊːzəmʊːkər		mɑdɑm	frʊːχt	ɒfdɒt	i		rœːtə	wɛl	rɪpərɪːrn	mʌr	ɛn		kœrtn	teːt	snøfələn	dər	ɛn	də	strʊːtə	vriː			rœːtn	də	pulisimʌn	læt			χu	ɔp	ʊst	i	dʏːr			lœpt	mʌr	tʊːs	zit	i	ɔp		uk	fɑn	də	strʊitə	ə	klɛːn	jʊːəcə		t	jʊːncə	wɛl	ʃyst		nə	stiːn	smetn	becə	lɔːtrə	zit	də	pulisimʌn	t	jʊːncə	tyːpə	mɪt	də	çlʊːzəmɔːkər	løpm	dən	ɑχænt	bəslɪt	ɔm	s	ɒlətwiə		t	ɑræstɪːrn	mɔr	t	lœkt	ɛm	ni	ɔm	zə	tə	pʌkŋ	tə	kreːn
Geraardsbergen	t	ɛs	stɪl	ɔp		strɔːtə			ɑmənəkir			eːnə	fɑn	d	hœːs	œːzn				χlɑs	ə	fraːu	stɑpt	fɑnhʏːrɤːt		bœːtn		dɑ	wɪl	naː		lʏkən	də	lʏpt	ʒyst		xlʊːzəmʊːkər		fraːu	frʊːxt	ɒfdɑt	m		rœːtə		repɑrɪːrn	mɒr							ɪn		strɔːtə				rœːtn	də	ʒɑmpætər						ɑst	m	døːr			lʏpt	mɒr	tys	sit	ɛ	ɔp	dən	uk	fɑn	də	strʊːtə	ə	klæːn	mɑnəkə			kɑdeikən	wɪl	ʃyst	mæt	ə	stɪː	smætn	wɑ	nɑrdin	sit	də	ʒɑmpætər		mɑnəkən	sʊːmm	mæt		χlʊːzəmʊːkər	lɤupən	də	ʒɑmpætər	wɪl		dər	ʌlətwɪə	ʊːn		hɑːn	mɒr				ni		zə		pɑkən		
Grijpskerk	t	ɪs	stɪl	ɔp		strʊːt	mɒ	dan	ɪnẽĩs	klɪŋk	bɛi	ein	fan	də		hysn	t	rɪŋkəln	fan	xlas	n	frɑu	kɔmt		nə	bytn							dʊː	loupt	krɛk	də	xlasɛtər	də	frɑu	frʊːxt	ɒf	hɛi			ʋʏl	mɒːkŋ	mɒr	ɪn		kɒrtə	tit	snøfəln		in		strʊːt		føːl		rytn	də	pəlitsiman	lɛt	nau	ɛkstrə	xud	ɔp	as	hɛi	dʏːr	də	strʊːtn	loupt	mɒr	dan	sɪxt	hɛi	ɔp						ən	klɛin	jɔŋkjə	stɒːn	t	jɔŋkjə	ʋʏl	nɛt		n	stiː̃	xʊin	eibm	lɔːtər	sɪxt	də	pəlitsiman	ət	jɔŋkjə	sɔmm	mɛt	də	xlasɛtər		də	pəlitsi	ʋɪl		sə	bɛidn			pakŋ	mɒr	t	lʏkt	hɪm	nit	ɔm	zə	tə	pɑkŋ	tə	kriɡŋ
Groenlo	t	ɪs	stɪlə	ɔp		stʀʌːtə	mɔr		ɪnɛns		bi	eː̃	fan	də	hus	hyzəʀ		xəʀɪŋkəl	fan	xlas		fʀɑuə	kʏmp	fəʀɑldərɪʀt	nə	butn	hɪː			nə	oːk	tufɑləx	d	lœp	nɛt		xlasɛtəʀ	də	fʀɑuə	fʀʏx	ɒf	hɪː	də	ʀutə	ʋɪl	ʀepɑʀɪːʀn	mɔr	ɪn		kɒʀtn	tit	xɒːtəʀɑn	ə	ɪn	də	stʀʌːtə			ʀutə	ʀutn	də	ʋɑut	lɛt	nɒ	ɛkstʀa	xud	ɔp	ɑs	i	dʏːʀ	də	stʀʌːtn	lœp	mə	dan	sœt	he			hoːk	fan	də	stʀʌːtə	ən	klɛin	jʏŋskə		ət	jʏŋskə	ʋʏl	nɛt		nə	kɛi	smitn	nhɒtə	laːtəʀ	sœt	də	ʋɑut	ət	jʏŋskə	saːmm	mɛt	də	xlasɛtəʀ	loːpən	də	ʋɑut	bəslœts	ɔm	zə	bɛidə	ɑn	tə	hɒln	mɒʀ	ət	lʏkt	əm	neit		sə	tə	pakən	tə	kʀɪːxən
