	ʔ	ɔ	r	d	e	ɛ	ə	a	j	ɑ	i	æ	t	ʀ	ɾ	x	ɦ	n	z	o	œ	u	ɣ	s	w	f	ŋ	ɵ	m	ʃ	ø	ʊ	p	l	b	v	ɪ	ʏ	k	y	ɡ	ʒ	ɱ	ɲ	ʋ	ʉ	h	ɟ	-
b	0.0340301	0.979771	0.0293794	0.0331124	0.979314	0.979581	0.985201	0.977919	0.0284285	0.978647	0.979723	0.975098	0.0385175	0.0348903	0.0310173	0.0432236	0.975462	0.0335134	0.0177463	0.977091	0.974964	0.977664	0.0375433	0.0207275	0.0192755	0.0223452	0.973946	0.971612	0.0177087	0.0317223	0.973794	0.971201	0.0069117	0.0255084	0	0.012456	0.969692	0.966526	0.0199042	0.974884	0.959575	0.957978	0.960694	0.960409	0.0258159	0.959149	0.0236277	0.942227	0.0282842
v	0.0460041	0.987852	0.0504236	0.0341461	0.987395	0.987662	0.993282	0.986	0.0345685	0.986728	0.987805	0.98318	0.0375581	0.0633553	0.0416898	0.0458574	0.0489601	0.0364845	0.0420624	0.985172	0.983045	0.985745	0.0405418	0.0378432	0.01481	0.00698461	0.0583386	0.979693	0.0168688	0.0453946	0.981875	0.979282	0.0269843	0.0238068	0.012456	0	0.977773	0.974607	0.0303832	0.982966	0.967656	0.0523278	0.968775	0.96849	0.0290534	0.967231	0.0215226	0.950308	0.0357305
ɪ	0.974846	0.027206	0.982065	0.977407	0.0196181	0.0191768	0.0296884	0.0336502	0.0357631	0.0290586	0.0167999	0.0235965	0.977149	0.977914	0.976191	0.978484	0.97818	0.984491	0.975401	0.0356821	0.0310634	0.0392564	0.97797	0.979114	0.0549911	0.976745	0.976664	0.974329	0.975377	0.971992	0.0312425	0.0223353	0.96909	0.972331	0.969692	0.977773	0	0.0111248	0.975446	0.0265958	0.962293	0.960696	0.963411	0.963126	0.968023	0.961867	0.965142	0.944945	0.0317561
ʏ	0.97168	0.0209922	0.978899	0.974241	0.0298881	0.0216077	0.0342025	0.0319518	0.974373	0.0264297	0.0265281	0.0251274	0.973982	0.974748	0.973025	0.975318	0.975013	0.981324	0.972235	0.0223527	0.01801	0.027416	0.974804	0.975947	0.972407	0.973578	0.973497	0.971163	0.972211	0.968826	0.0168105	0.0151917	0.965924	0.969165	0.966526	0.974607	0.0111248	0	0.972279	0.0163131	0.959126	0.957529	0.960245	0.95996	0.964856	0.9587	0.961975	0.941778	0.0364229
k	0.0115348	0.985524	0.0389046	0.0328758	0.985067	0.985335	0.990955	0.983672	0.027208	0.9844	0.985477	0.980852	0.0198204	0.047506	0.0434832	0.0131146	0.0366802	0.0366953	0.0385725	0.982845	0.980718	0.983417	0.0220154	0.0279301	0.0255649	0.0309501	0.0293644	0.977365	0.0330368	0.0182369	0.979548	0.976954	0.0164186	0.0216669	0.0199042	0.0303832	0.975446	0.972279	0	0.980638	0.0259072	0.963732	0.966447	0.0344545	0.0221414	0.964903	0.0275939	0.947981	0.0267311
y	0.980039	0.0243252	0.987257	0.9826	0.0285821	0.03047	0.0345844	0.033717	0.0303001	0.0326392	0.0213143	0.0360938	0.982341	0.983107	0.981384	0.983677	0.983372	0.989683	0.980594	0.0206954	0.0190682	0.0150064	0.983162	0.984306	0.0303842	0.981937	0.981856	0.0211644	0.98057	0.977185	0.0158881	0.0235861	0.974283	0.977524	0.974884	0.982966	0.0265958	0.0163131	0.980638	0	0.967485	0.965888	0.968604	0.968319	0.973215	0.0159495	0.970334	0.950137	0.0311936
ɡ	0.0359525	0.972371	0.0292467	0.037554	0.971914	0.972182	0.977802	0.970519	0.0254063	0.971247	0.972324	0.967699	0.0275423	0.0339998	0.966074	0.0157717	0.968063	0.974374	0.0515528	0.969692	0.967565	0.970264	0.00841296	0.0453077	0.0297414	0.966628	0.0319633	0.964212	0.0371098	0.0515689	0.966395	0.963801	0.958973	0.0298385	0.959575	0.967656	0.962293	0.959126	0.0259072	0.967485	0	0.950579	0.953295	0.953009	0.957906	0.95175	0.0271487	0.934828	0.031789
ʒ	0.963133	0.970774	0.0443397	0.0219904	0.970318	0.970585	0.976205	0.968922	0.0115222	0.96965	0.970727	0.966102	0.965435	0.0470397	0.0541711	0.966771	0.966466	0.0251081	0.00933603	0.968095	0.965968	0.968668	0.0285857	0.0191719	0.96386	0.965031	0.0546437	0.962615	0.963664	0.0200063	0.964798	0.962204	0.957376	0.0503112	0.957978	0.0523278	0.960696	0.957529	0.963732	0.965888	0.950579	0	0.951698	0.0411061	0.956309	0.950153	0.953428	0.0174954	0.0310532
ɱ	0.965848	0.97349	0.0404149	0.0462531	0.973033	0.973301	0.978921	0.971638	0.0367052	0.972366	0.973443	0.968818	0.96815	0.037017	0.967193	0.042713	0.969182	0.0195274	0.966403	0.97081	0.968683	0.971383	0.968972	0.0415795	0.0407742	0.967746	0.0310063	0.965331	0.0125241	0.962994	0.967514	0.96492	0.960092	0.963333	0.960694	0.968775	0.963411	0.960245	0.966447	0.968604	0.953295	0.951698	0	0.954128	0.959024	0.952869	0.956144	0.935946	0.0232114
ɲ	0.965563	0.973205	0.0484743	0.041717	0.972748	0.973015	0.978635	0.971353	0.0335294	0.972081	0.973158	0.968533	0.0289011	0.968631	0.966908	0.969201	0.0455487	0.0137172	0.0388418	0.970525	0.968398	0.971098	0.0529513	0.0365724	0.0491331	0.967461	0.0184333	0.965046	0.0299633	0.0384014	0.967228	0.964635	0.959807	0.0527416	0.960409	0.96849	0.963126	0.95996	0.0344545	0.968319	0.953009	0.0411061	0.954128	0	0.958739	0.952584	0.955858	0.0123133	0.0331902
ʋ	0.97046	0.0449394	0.977678	0.0252421	0.977644	0.977912	0.0518894	0.976249	0.0357829	0.976977	0.0540462	0.0631227	0.0355387	0.0536047	0.971804	0.042726	0.973793	0.0488025	0.0367306	0.0421638	0.973295	0.0294824	0.0506014	0.0377438	0.005	0.021785	0.972277	0.969942	0.0217316	0.967605	0.972125	0.969531	0.0319979	0.03493	0.0258159	0.0290534	0.968023	0.964856	0.0221414	0.973215	0.957906	0.956309	0.959024	0.958739	0	0.95748	0.047023	0.940558	0.0349045
ʉ	0.964304	0.025174	0.971522	0.966865	0.0353847	0.0405258	0.0450003	0.0326622	0.0440152	0.0328491	0.0327433	0.0398402	0.966606	0.967372	0.965649	0.967942	0.967637	0.973948	0.964859	0.0193091	0.0247047	0.0120594	0.967427	0.968571	0.041683	0.966202	0.966121	0.0236899	0.964835	0.96145	0.0183909	0.0243076	0.958548	0.961789	0.959149	0.967231	0.961867	0.9587	0.964903	0.0159495	0.95175	0.950153	0.952869	0.952584	0.95748	0	0.954599	0.934402	0.03562
h	0.967579	0.97522	0.974797	0.0374876	0.974764	0.975031	0.980651	0.973368	0.0261715	0.974096	0.975173	0.970548	0.0326578	0.970646	0.968923	0.971217	0.970912	0.977223	0.0310184	0.972541	0.970414	0.973113	0.0331898	0.971846	0.0344237	0.0360783	0.969396	0.967061	0.0376529	0.964724	0.969244	0.96665	0.0112669	0.0175939	0.0236277	0.0215226	0.965142	0.961975	0.0275939	0.970334	0.0271487	0.953428	0.956144	0.955858	0.047023	0.954599	0	0.937677	0.0213763
ɟ	0.947381	0.955023	0.0442937	0.00663955	0.954566	0.954834	0.960454	0.953171	0.0397682	0.953899	0.954976	0.950351	0.0193974	0.950449	0.948726	0.0288633	0.950715	0.957026	0.947936	0.952344	0.950217	0.952916	0.0401987	0.951649	0.0378022	0.94928	0.949199	0.946864	0.947912	0.944527	0.949047	0.946453	0.941625	0.944866	0.942227	0.950308	0.944945	0.941778	0.947981	0.950137	0.934828	0.0174954	0.935946	0.0123133	0.940558	0.934402	0.937677	0	0.0332557
-	0.023306	0.0380718	0.0261548	0.0238035	0.0332083	0.0326713	0.0209938	0.0357263	0.0247298	0.0313294	0.0262148	0.0360388	0.0239572	0.0318871	0.0328694	0.0284656	0.022185	0.0217049	0.0387439	0.0365285	0.0282949	0.026253	0.0296733	0.0273841	0.0264817	0.0352393	0.0238136	0.0327901	0.0236707	0.0323012	0.0385054	0.0376339	0.0277168	0.0233256	0.0282842	0.0357305	0.0317561	0.0364229	0.0267311	0.0311936	0.031789	0.0310532	0.0232114	0.0331902	0.0349045	0.03562	0.0213763	0.0332557	0
