	Pasen_gtrp	aarde_gtrp	aardig_gtrp	acht_gtrp	achter_gtrp	adem_gtrp	af_gtrp	anders_gtrp	appels_gtrp	arm_gtrp	armen_gtrp	auto's_gtrp	baarden_gtrp	bakken_gtrp	barsten_gtrp	bedden_gtrp	beenderen_gtrp	beginnen_gtrp	benen_gtrp	beren (wild)_gtrp	best (bijw)_gtrp	beurzen_gtrp	beven_gtrp	bezems_gtrp	bezig_gtrp	bidden_gtrp	bier_gtrp	bij (vz)_gtrp	bijen_gtrp	bijten_gtrp	binden_gtrp	bitter_gtrp	bladen_gtrp	bladeren_gtrp	blauw_gtrp	blazen_gtrp	bleek_gtrp	blijven_gtrp	blind_gtrp	bloeden_gtrp	bloeien_gtrp	blond_gtrp	blozen_gtrp	bokken_gtrp	bomen_gtrp	bonen_gtrp	boren_gtrp	boter_gtrp	bouwen_gtrp	boven_gtrp	braaf_gtrp	braden_gtrp	branden_gtrp	breed_gtrp	breien_gtrp	breken_gtrp	brengen_gtrp	broden_gtrp	broeken_gtrp	broers_gtrp	bruin_gtrp	buigen_gtrp	buiten_gtrp	dagen_gtrp	daken_gtrp	damp_gtrp	dansen_gtrp	darmen_gtrp	deeg_gtrp	denken_gtrp	derde_gtrp	deuren_gtrp	dienen_gtrp	diep_gtrp	dieven_gtrp	dik_gtrp	dingen_gtrp	dinsdag_gtrp	dochters_gtrp	doeken_gtrp	doen_gtrp	dol_gtrp	donder_gtrp	donderdag_gtrp	donker_gtrp	doof_gtrp	dooien_gtrp	door_gtrp	dopen_gtrp	dorsen_gtrp	dorst_gtrp	draaien_gtrp	draden_gtrp	dragen_gtrp	dreigen_gtrp	drie_gtrp	drinken_gtrp	dromen_gtrp	droog_gtrp	dubbel_gtrp	duiven_gtrp	duizend_gtrp	dun_gtrp	durven_gtrp	duur_gtrp	duwen_gtrp	dweilen_gtrp	echt_gtrp	eeuwen_gtrp	eieren_gtrp	eigen_gtrp	einde_gtrp	elf_gtrp	engelen_gtrp	enkel_gtrp	eten_gtrp	ezels_gtrp	fel_gtrp	fijn_gtrp	flauw_gtrp	flessen_gtrp	fruit_gtrp	gaan_gtrp	gaarne_gtrp	gal_gtrp	ganzen_gtrp	gapen_gtrp	gebruiken_gtrp	geel_gtrp	gehad_gtrp	geld_gtrp	geloven_gtrp	genoeg_gtrp	geraken_gtrp	gerst_gtrp	geven_gtrp	geweest_gtrp	gewoon_gtrp	gisteren_gtrp	glazen_gtrp	god_gtrp	goed_gtrp	goud_gtrp	gouden_gtrp	gras_gtrp	graven_gtrp	grijs_gtrp	groen_gtrp	grof_gtrp	groot_gtrp	haast_gtrp	haastig_gtrp	haken_gtrp	halen_gtrp	half_gtrp	handen_gtrp	hanen_gtrp	hangen_gtrp	hard_gtrp	haver_gtrp	hebben_gtrp	heel_gtrp	heet_gtrp	heffen_gtrp	heilig_gtrp	helpen_gtrp	hemden_gtrp	hemel_gtrp	hengsten_gtrp	heren_gtrp	heten_gtrp	hier_gtrp	hoeden_gtrp	hoesten_gtrp	hol_gtrp	holen_gtrp	honden_gtrp	honger_gtrp	hoog_gtrp	hooi_gtrp	hoop (espoir)_gtrp	hopen_gtrp	horen_gtrp	horens_gtrp	houden_gtrp	huizen_gtrp	jagen_gtrp	jeuken_gtrp	jong_gtrp	jongen_gtrp	juist_gtrp	kaas_gtrp	kaf_gtrp	kalm_gtrp	kalveren_gtrp	kamers_gtrp	kammen (1)_gtrp	kammen (2)_gtrp	kanten_gtrp	karren_gtrp	kasten_gtrp	katten_gtrp	kennen_gtrp	kermis_gtrp	kersen_gtrp	kervel_gtrp	keuren_gtrp	kiezen_gtrp	kijken_gtrp	kinderen_gtrp	klaver_gtrp	kleden_gtrp	klederen_gtrp	klein_gtrp	kloppen (1)_gtrp	kloppen (2)_gtrp	knechten_gtrp	kneden_gtrp	knieen_gtrp	koeien_gtrp	koel_gtrp	koken_gtrp	komen_gtrp	kommen_gtrp	konijnen_gtrp	koorts_gtrp	kopen_gtrp	koper_gtrp	kort_gtrp	koud_gtrp	kousen_gtrp	kraken_gtrp	kramp_gtrp	kreupel_gtrp	krijgen_gtrp	krimpen_gtrp	krom_gtrp	kruipen_gtrp	kwaad_gtrp	laag_gtrp	laat_gtrp	lachen_gtrp	lam_gtrp	lammeren_gtrp	lampen_gtrp	lang_gtrp	lastig_gtrp	laten_gtrp	latten_gtrp	leden_gtrp	ledig_gtrp	leem_gtrp	leggen_gtrp	leren_gtrp	leugens_gtrp	leunen_gtrp	leven_gtrp	lezen_gtrp	licht_gtrp	liederen_gtrp	liggen_gtrp	lijken_gtrp	likken_gtrp	lomp_gtrp	lopen_gtrp	lucht_gtrp	lui_gtrp	luiden_gtrp	luisteren_gtrp	maandag_gtrp	maanden_gtrp	maart_gtrp	magen_gtrp	mager_gtrp	maken_gtrp	marmer_gtrp	maten_gtrp	mazelen_gtrp	meer_gtrp	mei_gtrp	meid_gtrp	melk_gtrp	menen_gtrp	merg_gtrp	metselen_gtrp	meubels_gtrp	missen_gtrp	modder_gtrp	moe_gtrp	moes_gtrp	moeten_gtrp	mogelijk_gtrp	mogen_gtrp	morgen (demain)_gtrp	mossels_gtrp	muizen_gtrp	muren_gtrp	naalden_gtrp	nat_gtrp	negen_gtrp	negers_gtrp	nieuw_gtrp	noemen_gtrp	nog_gtrp	noorden_gtrp	noten_gtrp	nu_gtrp	ogen_gtrp	om_gtrp	ons_gtrp	oogst_gtrp	ook_gtrp	oosten_gtrp	op_gtrp	open_gtrp	oud_gtrp	over_gtrp	paarden_gtrp	padden_gtrp	paden_gtrp	pekel_gtrp	pellen_gtrp	peper_gtrp	peren_gtrp	piepen_gtrp	pijpen_gtrp	planken_gtrp	pleinen_gtrp	ploegen (werktuig)_gtrp	potten_gtrp	proeven_gtrp	proper_gtrp	raar_gtrp	raden_gtrp	recht_gtrp	redden_gtrp	regen_gtrp	rekken_gtrp	ribben_gtrp	riet_gtrp	rijden_gtrp	rijk_gtrp	rijp_gtrp	rijst_gtrp	ringen_gtrp	roepen_gtrp	roeren_gtrp	rogge_gtrp	rokken_gtrp	rond_gtrp	rondes_gtrp	rood_gtrp	rook_gtrp	ruiken_gtrp	runderen_gtrp	ruzies_gtrp	sap_gtrp	saus_gtrp	schade_gtrp	schapen_gtrp	schaven_gtrp	scheef_gtrp	scheel_gtrp	scheiden_gtrp	schepen_gtrp	scheppen_gtrp	scheren_gtrp	scherp_gtrp	schieten_gtrp	schimmel_gtrp	schoenen_gtrp	scholen_gtrp	schoon_gtrp	schrijven_gtrp	schudden_gtrp	schuiven_gtrp	schuld_gtrp	schuren_gtrp	schuw_gtrp	simpel_gtrp	slaan_gtrp	slapen_gtrp	slecht_gtrp	slijm_gtrp	slijpen_gtrp	slim_gtrp	sluiten_gtrp	smal_gtrp	smeden_gtrp	smelten_gtrp	smeren_gtrp	sneeuw_gtrp	sneeuwen_gtrp	soep_gtrp	spannen_gtrp	sparen_gtrp	spartelen_gtrp	spelden_gtrp	spelen_gtrp	sport (spel)_gtrp	spreken_gtrp	springen_gtrp	spuiten_gtrp	staan_gtrp	stallen_gtrp	stampen_gtrp	steken_gtrp	stelen_gtrp	stenen_gtrp	sterven_gtrp	stijf_gtrp	stil_gtrp	stoelen_gtrp	stof (huisvuil)_gtrp	stokken_gtrp	stom_gtrp	stout_gtrp	straten_gtrp	strepen_gtrp	strooien_gtrp	sturen (zenden)_gtrp	suiker_gtrp	taai_gtrp	taarten_gtrp	tafels_gtrp	takken_gtrp	tam_gtrp	tanden_gtrp	tangen_gtrp	tantes_gtrp	tarwe_gtrp	tegen_gtrp	tellen_gtrp	temmen_gtrp	tenen_gtrp	tien_gtrp	timmeren_gtrp	torens_gtrp	traag_gtrp	tralies_gtrp	trams_gtrp	treffen_gtrp	treinen_gtrp	trouwen_gtrp	tussen_gtrp	twaalf_gtrp	twee_gtrp	tweede_gtrp	twijfel_gtrp	twintig_gtrp	uilen_gtrp	vader_gtrp	vallen_gtrp	vals_gtrp	vangen_gtrp	varen_gtrp	vast_gtrp	vaten_gtrp	vechten_gtrp	veel_gtrp	veertig_gtrp	ver_gtrp	verf_gtrp	vers_gtrp	vesten_gtrp	vet_gtrp	veulens_gtrp	vier_gtrp	vieren_gtrp	vijf_gtrp	vijftig_gtrp	vijgen_gtrp	vinden_gtrp	vingers_gtrp	vissen_gtrp	vlaggen_gtrp	vlas_gtrp	vlees_gtrp	vliegen_gtrp	vloeken_gtrp	vlooien_gtrp	voegen_gtrp	voelen_gtrp	voeten_gtrp	vogels_gtrp	vol_gtrp	volgen_gtrp	volk_gtrp	voor_gtrp	vragen_gtrp	vreemd_gtrp	vriezen_gtrp	vrij_gtrp	vrijdag_gtrp	vrijen_gtrp	vroeg_gtrp	vuil_gtrp	vuur_gtrp	wachten_gtrp	wafels_gtrp	warm_gtrp	wassen_gtrp	weer_gtrp	weg_gtrp	wegen (1)_gtrp	wegen (2)_gtrp	weinig_gtrp	weken_gtrp	wensen_gtrp	werken_gtrp	weten_gtrp	wieden_gtrp	wijd_gtrp	wijn_gtrp	wijven_gtrp	wild_gtrp	willen_gtrp	winnen_gtrp	wippen_gtrp	wit_gtrp	woensdag_gtrp	wol_gtrp	wonen_gtrp	woorden_gtrp	worden_gtrp	wrijven_gtrp	zacht_gtrp	zakken_gtrp	zand_gtrp	zaterdag_gtrp	zee_gtrp	zeep_gtrp	zeggen_gtrp	zeilen_gtrp	zeker_gtrp	zelf_gtrp	zes_gtrp	zetten_gtrp	zeven_gtrp	zeventig_gtrp	ziek_gtrp	ziektes_gtrp	zien_gtrp	zijn_gtrp	zilveren_gtrp	zitten_gtrp	zoeken_gtrp	zoet_gtrp	zondag_gtrp	zonder_gtrp	zonen_gtrp	zorgen_gtrp	zout_gtrp	zouten_gtrp	zuchten_gtrp	zuigen_gtrp	zuur_gtrp	zwaar_gtrp	zwart_gtrp	zwellen_gtrp	zwemmen_gtrp	zwijgen_gtrp
Aalsmeer	pasə	ʔɔrde	ʔardəx	ʔɔxt	ʔɔxtər	ʔɔdəm	ʔɔf	ʔarə	ʔapəls	ʔarəm	ʔarəmə	ʔautous	bærdə	bɔkə	bɔrtə	bɛdə	binə	bəxenə	binə	berə	bɛst	børzə	beiwə	beizəmps	beizəx	bedə	bir	bai	bajə	baitə	bendə	betər	blɔjə		blæu	bleizə	bleik	blaiwə	blent	blujə		blɔnt	blouzə	bɔkə	boumə	bonə	borə	botər	bauwə	bouwə	braf	brajə	brandə	breit	brɔjə	breikə	brɛŋə	brojə	brukə	brurs	brœwn	bœwɣə	bœwtə	daxə	dakə	damp	dɔsə	darəmə	deix	dɛŋkə	dœrdə	dørə	dinə	dip	diwə	dek	deŋə	denzdax	dɔxtərs	dukə	dun	dɔl	ʔəndɔndər	dɔndərdax	dɔŋkər	douf	dojə	dør	doupə	dɔrə	dɔrt	drɔjə		draɣə	draiɣə	dri	dreŋkə	droumə	droux	dobəl	dœwwə	dozənt	don	dorəwə	dir	dauwə	dwailə	ʔɛxt	ʔeuwə	ʔɔiərə	ʔaiɣə	ʔaində	ʔɛləf	ʔɛŋələ	ʔɛŋkəl	ʔeitə	ʔeizəls	fɛl	fɔin	flers	flɛsə	frœwt	xæn	xrax	xal	xazə	xapə	xəbrœwkə	xel	xəɦɔt	xɛlt	louwə	xənoyx	rakə	xɔrt	xeiwə	xəweist	xəwøwn	xøstərə	xlazə	xɔt	xut	xaut	xaut	xras	xrawə	xrais	xrun	xrɔf	xrot	ɦeist	ɦeistəx	ɦeikə	ɦalə	ɦaləf	ɦandə	ɦanə	ɦaŋə	ɦard	ɦawər		ɦel	ɦeit	ɦɛfə	ɦailəx	ɦɛləpə	ɦɛmdə	ɦeiməl	ɦɛŋkstə	ɦerə	ɦeitə	ɦir	ɦudə	ɦustə	ɦɔl	ɦɔlə	ɦɔndə	ɦɔŋər	ɦoux	ɦoi	ɦoup	ɦoupə	ɦorə	ɦorəns	ɦauwə	ɦœwzə	jaɣə	jokə	jɔŋ		jœwst	keis	kaf	kaləm	kaləwə	kamərs	kamə	kamə	kɔntə	karə	kastə	katə	kɛnə	kɛrəmes	kɔrsə	kɛrəwəl	kørə	kizə	kaikə	kaindərs	klawər	kleidə	klerə	klɔn	klɔpə	klɔpə	knɛxs	knejə	knejə	kujə	kul	koukə	kɔmə	kɔmə	kənainə	kor	koupə	koupər	kɔrt	kaut	kausə	krakə	kramp	krøwpəl	kraiɣə	krempə	krɔm	krœwpə	kweit	lɔx	lɔt	lɔxə	lam	lamə	lampə	laŋ	lastəx	leitə	latə	leijə	leix	leim	lɛɣə	lerə	løwɣəs	løwnə	leiwə	leizə	lext	lidərə	lɛɣə	lɔikə	lekə	lɔmp	loupə	loxt	lœw	lœwjə	lœwstərə	mandax	mandə	mært	marə	maɣər	makə	marəmər		mazələ	mer	mai	ʔəmmɔit	mɛlək	meinə	mɛrəx	mɛsələ	møwbələ	mesə	mɔdər	mui	mus	mutə	mouɣələk	maɣə	mørəxə	mɔsələ	mœwzə	myrə	nældə	nat	neiɣə	neixərs	not	numə	nɔx	nordə	nøwtə	ny	ʔouxə	ʔɔm	ʔɔs	ʔoxst	ʔɔk	ʔostə	ʔɔp	ʔoupə	ʔaut	ʔɔuwər	pærdə	padəs	pajə	ʔəmpeikəl	pɛlə	peipər	perə	pipə	paipə	plaŋkə	plainə	pluɣə	pɔtə	pruwə	proupər	rar	rɔjə	rɛxt	rɛdə	reiɣə	rɛkə	rebə	rit	raijə	raik	raip	raist	reŋə	rupə	rurə	rɔɣə	rɔkə	rɔnt	rɔndəs	rot	rouk	rœwkə		ryzis	sɔp	saus	sxadə	sxæpə	sxawə	sxif	sxel	sxaijə	sxeipə	sxɛpə	sxerə	sxarəp	sxitə	sxeməl	sxunə	sxolə	sxon	sxraiwə	sxodə	sxaiwə	sxolt	sxyrə	sxyw	sempəl	slæn	sleipə	slɛxt	slaim	slaipə	slem	slœwtə	smal	smets	smɛltə	smerə	snyʔ	snywə	sup	spanə	sparə	spartələ	spɛldə	spølə	spɔrt	spreikə	spreŋə	spœwtə	stæn	stalə	stampə	steikə	stelə	stinə	storəwə	staif	stel	stulə		stɔkə	stɔm	staut	streitə	streipə	strojə	stirə	sœwkər	taj	tartə	tafəls	takə		tɔndə	taŋə	tantəs	tarəwə	tøwɣə	tɛlə		teijə	tin	temərə	torəs	trax	tralis	trɛmə	trɛfə		trauwə	tosə	twaləf	twi	twidə	twaifəl	twentəx	ʔœwlə	fadər	wɔlə	fals	fɔŋə	farə	wast	fatə	fɛxtə	føwl	fertəx	fɛr	førəf	fɔr	fɛstə	fɛt	føləs	fir	firə	faif	faiftəx	faiɣə	fendə	feŋərs	fesə	flɔɣə	flas	flɔs	fliɣə	flukə	flojə	fuɣə	wulə	futə	foɣəls	fɔl	fɔləɣə	fɔlək	før	fraɣə	freimt	frizə	frai	fraidax	fraijə	frux		fyr	wɔxtə	wafəls	warəm	wasə	wer	wɛx	weiɣə	weiɣə		weikə	wɛsə	wɛrəkə	weitə	waijə	wait	wain	waiwə	welt	welə	wenə	wøpə	wet	wøwnəzdax	wɔl	wøwnə	wordə	wɔrə	fraiwə	zaxt	zakə	zant	zatərdax	zei	zeip	zɛɣə	zailə	zeikər	zɛləf	zɛs	zɛtə	zøwwə	zøwwəntəx	zik	ziktəs	zin	weizə	zeləwər	zetə	zukə	zut	zøndax	zɔndər	zøws	zørəɣə	zaut	zautə	zoxtə	zœwɣə	zyr	zwær	zwart	zwɛlə	zwɛmə	zwaiɣə
Aalst	posn	eɛrdə	ordəx	ɑxt	ɑxtər	osəm	ɑf	ɑndərs	ɑpələn	arəm	ærəmən	otos	bordən	bɑkən	bɛstn	bedən		bəɣin	biənən	beɛrən	best	bezn	bɛvən		bɛzəx	bidən	bir	boa	bin	boatən	binən	bitər	bloərn	bloərn	blat	blozn	bliək	blævən	blint	blujən	blujən	blont	bluzən	bokən	buəmən	buən	buərən	butər	ban	buvən	braf	breɛn	brɑnən	briət	brɑən	brɛkən	briŋən	bruən	brukən	brurs	broɛn	boɛɣən	boɛtən	dɔɣən	dɔkən		dɑnsən	dærəmən	diəx		dɛrdə	derən	dinən	dip	divən	dik	deŋəs	doastndɑx	doxtərs	dukən	duŋ	dol	dondər	dondərdɑx	doŋkər	duəf	duən	der	duəpən	desn	dest	droən	droən	droɣən	drɑɛɣən	droɛ	driŋkən	druəmən	druəx	dobəl	doɛvən	dyzət	dinə	tavən	dir	davən	dwoalən	ɛxt	iwən	oarən	oaɣən	ɛnə	ɛləf	eŋələn	eŋkəl	ɛtən	ɛzəls	fɛl	foan	fla	flɛsən	froɛt	ɣon	ɣeɛrn	ɣɑlə	ɣɑnzən	ɣopən	ɣəbroɛkən	ɣeɛl	ɣɑt	ɣɛlt	ɣəluəvən	ɣənux	ɣərokən	ɣest	ɣevən	ɣəwest	ɣəwuən	ɣistərn	ɣlozən	ɣot	ɣut	ɣat	ɣavən	ɣɛs	ɣrovən	ɣrɑɛs	ɣruŋ		ɣruət	ostə	ostəx	ɔkən	oln	ɑlf	ɑn	onən	ɑŋən	ɛrt	ɔvər		iəl	iət	ɛfən	ɑɛləx	ɛlpən	ɛmənən	dəneməl	iŋstən	iərən		ir	ujən	ustən	ɦol	olən	onən	oŋər	uəx	ue	op	uəpən	uərən	uərəns	avən	oɛzən	joɣən	iəkən	joŋ	joŋərən	ʒyst	kɛs	kɑf	kɑləm	kɔlvərən	kɔmərs	kɑmən	kɑmən	kɑntən	kærən	kɑsən	kɑtən	kenən	kærəmis	kɛzn	kærvəl	kɛrən	kizn	koakən	kinərən	klɔvər	kliərn		klæn	klopən	klopən	knɛxtən	knedən	kninən	kujən	kul	kokən	komən	komən	konɑɛnən	kersn	kuəpən	kopər	kɛrt	kat	kasən	krokən	krɑmp	krɛpəl	kre	krimpən	krom	kroɛpən	kot	liəx	lɔt	lɑxən	lɑm		lɑmpən	lɑŋ	lɑstəx	lotən	lɑtən	lɛdən	lɛx	liəm	leɣən	liərən	leɣəs	lenən	lɛvən	lezən	lixt		liɣən	lɑɛkən	lɛkən	lomp	luəpən	loxt	loɛ	loən	loəstərən	mondɑx	mon	meɛrt	mɔɣən	moɣər	mokən	mærmər	motn	mozələn	miər	moa	əmɑɛt	mɛlk	miənən	mærx	mɑʃən	mɛbələn	misən	mur	mu	mus	mutən	meɣəlɛk	meɣən	mɛrn	mosələn	moɛzən	mirən	nolən	nɑt	neɣən	nɛɣərs	nif	numən	nox	nurdn	nutən	na	uəɣən	om	ons	uəst	uək	uəstn	op	opə	at	uvər	peɛrən	pɑdən		nəpɛkər	pelən	pɛpər		pipən	poapən	plɑŋkəŋ	plɑɛnən	pluɣən	potən	pruvən		rol	roən	rɛxt	rɛdən	dəreɣən	rɛkən	ribən	rit	roan	roak	roap	roɛs	riŋən	rupən	rurən	roɣə	rokə	ront	rondən	ruət	ruək	rikən		riʒəs	zɑp	sas	sxoɛ	sxopən	sxovən	sxiəf	sxeɛl	sxiən	sxepən	sxepən	sxerən	sxærp	sxitən	nəsximəl	sxunən	sxulən	sxuən	sxroavən	sxidən	sxoɛvən	sxilt	sxirən	sxa	simpəl	slon	slopən	slɛxt	slɑɛm	slɛpən	sleəm	sloɛtən	smal	smedən	smɛltən	smeɛrən	sniə	sniən	sup	spɑnən	sporən	spɛrtələn	speldən	spelən	sport	sprekən	spriŋən	spiətən	ston	stalən	stɑmpən	stekən	stelən	stiənən	stærvən	stoaf	stilə	stulən	stof	stokən	stom	stat	strotən	strɛpən	struən	stirn	soɛkər	toəj	tortən	tɔfəls	tɛkən	tɑm	tɑnən	tɑŋən	tɑntəs	tɛrə	teɣən	telən	temən	tiənən	tin	timərən	turəs	trɔx	əntrolə	trɑms	trɛfən	tranʃ	tran	tisn	twɛləf	twiə	twiədə	twɑfəl	twintəx	oɛlən	voər	vɑlən	vɑls	vɑŋən	veɛrn	vɑst	votən	vextn	vɛil	tfiətəx	vɛr	vɛrf	vɛs	vestən	vɛt	veləs	vir	virn	voaf	tfoaftəx	voaɣən	vinən	viŋərs	visən	vlɑɣən	vlɑs	vliəs	vliɣən	vlukən	vluən	vuɣən	vulən	vutən	vuɣəls	vol	volɣən	volk	vern	vroɣən	vrɛmt	vrizn	vrɑɛ	vroadɑx	vrɛjən	vrux	voɛl	vir	wɑxtən	wɔfəls	wærəm	wɑsən	vərom	wex	weɣən	weɣən	woanəx	wiəkən	wensən	wærkən	wetən	wiən	woat	wɑɛn	wɑɛvən	wilt	wilən	winən	wipən	wit	wunzdɑx	wolə	wuənən	wordən		vravən	zoxt	zɑkən	zɑnt	zotərdɑx	ziə	ziəp	zeɣən	zɑɛlən	zɛjkər	zelf	zes	zɛtən	zevən	tsevətəx	zik	ziktən	zin	zen	zilvərn	zitən	zukən	zut	zondɑx	zondər	zunʃ	zerɣən	zat	zatən	zixtən	zoɛɣən	zir	zwor	zwɑrt	zwelən	zwemən	zwoaɣən
Aalten	pɦɔsn	ardə	adəx	ɑxtɦə	ɑxtəʀ	ɔdəm	ɑf	ɑndərs	ɑpələ	ɑrəm	ɑrəmə	ɑutos	bɵrdə	bɑkn	bɑstn	bɛdən		bəxen	benə	beən	bɛst		bevn	bɛsəms	bezəx	bɛdn	biə	bej	bejən	bitn	ben	betəʀ	bladər	bladər	blɑuw	blɔzn	bleklieverwet	blivəm	blentɦ	blun	bløijn	blontɦ		bœkə	bømə	bonən	bɔɔn	bɔtər	bɑuwən	bɔvn	braf	brɑn	brɑn	bret	brɛijn	brekŋ	brɛŋ	brødə		brɵəs	brun	byxən	bytn	daxə	dakə	dɑmp	dɑnsn	dɑrmən	dex	dɛŋkn	ndɑdn	dɵən	din	dipə	devə	dekə	deŋər	densdɑx	dɔxtərs	dukən	dun	dol	dɔndər	dɔndədɑx	dɔŋkəʀ	dof	dœijn	dɵɛ	døpn	dɔsn	dɔst	drɛijn	drœdə	draxn	drɛixn	dreɣ	dreŋʔŋ	drøm	drøxə	dɵbɔl	duvən	dyznt	dɵnə	dœrəvn	dyʀ	dɑuwn	dwɛels	ɛx	euwən	ɛejər	ɛixən	ətɛndə	ɛləvə	ɛŋələn	ɛŋkɔl	ɛtn	ezəls	fɛl	fin	flɑuw	flɛsən	frœet	xɔn	xeənə	xɑlə	xɑnzən	xapm	xəbrykŋ	xɛl	ɦɑtɦɦɑjə	xɛlt	xəløvm	xənɔx	rekn	xɑstə	xɛvn	bɵni	xəwʊn	xestrn	xlɛzə	xɔt	xut	xɔltɦ	xɔldn	xrɛs		xris	xryn	xrɔf	xrot	ɦɔst	ɦœstəx	ɦœkə	ɦaln	ɦɑləf	ɦɑndə	ɦanən	ɦɑŋ	ɦɑtɦ	ɦavər	ɦɛm	ɦel	ɦɛitə	ɦɛfn	ɦɛiləx	ɦɛlpm	ɦɛmdə	ənɦemɔl	ɦɛŋstə	ɦerən	ɦɛitn	ɦiə	ɦydə	ɦustn	ɦɔl	ɦœlə	ɦɵndə	ɦoŋər	ɦoxə	ɦøiɣ	ɦɔpə	ɦøpə	ɦɵɔn	ɦɵrnə	ɦɔl	ɦyzə	jaxn	jœkn	jɔŋ	jɔŋən	jyst	əŋkezə	kɑf	kɑləm	kɑlvər	kamərs	kɦømə	kem	kɑntɦən	kɦoɔn	kɑstən	kɑtɦən	kɛn	kɦɑrmesə	kɑsən	kɛrvɔl	kɵən	kizn	kikn	kendər	klɔvər	kledər	kledər	klɛin	klɔpm	klɔpm	knɛxtɦən	knen	kninə	kɦunə	kul	kɔkn	kɔmən	kɦɔmən	knins	kʊɔts	kopm	kɔpəʀ	kɔt	koltɦ	kɑusən	krakn	krɑmp	krɵpɔl	krixn	kremʔm	krom	krupm	kwɔtɦ	lexə	latɦə	lɑxn		lɑmərə	lɑmpɦən	lɑŋə	lɑstəx	lɔtn	lɑtɦən	ledn	lœx	lem	lexn	leɔn	lœxəns	lɵn	lɛvn	lɛzn	lex		lexn	likə	lɛkn	lʊmp	lopm	loxt	lœe	lun	lystʀn	mɔndɑx	mɔndən	meətɦ	maxən	maxəʀ	makŋ	mɑrmɑ		mazln	meə	mɛi	əmɛitɦ	mɛlek	men	mɛrəx	mɛsln	møbəls	mesn		my	mus	mʊtn	møxələk	mɵxn	mɔrəxn	mɔsls	myzə	myɔn	nɔldən	nɑt	nexənə	nexəʀs	neɣ	nymn	xɔx	nɔdn	nœtɦən	now	oxən	ɵm	ʊns	oxst	ok	ostn	ʊp		ɔltɦ	ɔvəʀ	peədə	pɦɛdən	pɦarə	pɛkɔl	pɛlən	pɦepəʀ	pɦeɔn	pipən	pipən	plɑŋkən		plyxə	pɦœtɦə	pryvn		ra	rɑn	rɛxt	rɛdn	rexən	rɛkŋ	rebən	retɦ	rejn	rikə	ripə	rist	reŋə	rupm	ryɔn	rɔxə	rœkɦə	rontɦ		rotɦ	rokɦ	rukn		ryzis	sɑp	sɑusə	sxadə	sxœpə	sxavm	sxef	sxel	sxɛidn	sxepə	sxɛpm	sxeɔn	sxɑrəp	sxitn	ənsxemʊl	sxunə	sxolən	sxonə	sxrivn	sxɵn	sxuvn	ənsxɵltɦ	sxyən		sempɔl	slɔn	slɔpən	slɛxt	slim	slipm	slem	slutn	smɑl	smedə	smɵltn	smeən	sne	sneijn	sup	spɑn	spɔən	spɑrtl	spɛldən	spœl	spɔt	sprekn	spreŋ	spœetn	stɔn	stɛlə	stɑmʔm	stekŋ	steln	stɛnə	stɑrəvən	stif	stelə	stylə	stɔf	stœkə	stʊm	stɑut	strɔtn	strepm	strøijn	styən	sykəʀ	tɦɑ	tɦatn	tɦɔfəls	tɦɛkəʀ	tɦɑm	tɦɑn	tɦɑŋən	tɦɑntɦəs	tɑrwə	tɦexn	tɦɛl	tɦɛm	tɦenə	tɦinə	temʀn	tɦɵɔnə	trax	tralis	trɑms	trɛfən	trɛinə	trɑuwn	tɦɵsn	twaləvənə	tɦwe	tɦwedn	twifʊl	tɦwentəx	ulən	vadəʀ	vɑl	vɑls	vɑŋ	fan	vɑstɦə	fɛtɦə	fɛxtŋ	fœlə	veətəx	wit	vɑrvə	vɛs	fɛstə	vɛtɦ	fœls	virə	viʀn	vivə	viftəx	fixən	ven	veŋərə	vesən	vlɑxən	vlɑs	vlɛis	vlixn	vløkən	vlø	vuxən	vylən	vøtɦə	fɔxəls	vol	vɔlxən	ənvɔlək	vɵɛ	frɔxən	vrɵmtɦ	frizn	vreɣ	vredɑx	frejn	vrox		vyə	wɑxtn	wɔfʊls	wɑrəm	wɑsn	weə	wɛx	wexə	wexn	wɛinəx	wekn	wɛnsn	wɑrəkn	witn	win	witɦ	win	wivə	weltɦ	wel	wen	wɵpən	wetɦ	wunsdɑx	wolə	wɔn	wɵədə	wɔn	wrivn	zɑxtə	zɛkə	zɑntɦ	zɔtədɑx	ze	zepə	zɛxən	zɛilən	zekəʀ	zɛləf	zɛsə	zɛtn	zøvənə	zøvəntəx	zek	zektəs	zin		zelvəʀ	zetn	zykn	zytə	zʊndɑx	zɔndəʀ	zɵns	sɔrəxn	zɑltɦ	zɑltn	zɵxtn	zuxn	zuə	zwɔə	zwɑtɦ	zwɛl	zwɛm	zwixn
