location	word	trs
sadina, pop	0	ˈɑɡni
saparevo, dup	0	jˈɑɡne
sekirovo, plov	0	jˈɑɡni
senokos, blgr	0	jˈɑɡne
sestrino, petr	0	jˈɑɡne
shipka, kaz	0	ˈɑɡni
shiroka laka, dev	0	ˈɛɡnʲə
shiroki dol, sam	0	jˈɑɡne
shtipsko, prov	0	ˈɑɡni
skobelevo, sliv	0	ˈɑɡni
slaveino, smol	0	jˈɛɡne
slavjanovo, plev	0	ˈɑɡni
smochevo, dupn	0	jˈɑɡne
smolsko, pird	0	ˈeɡne
solishta, dev	0	ˈɛɡnʲə
sredec, zlgr	0	jˈɑɡne
stakevci, blgr.	0	jˈɑɡnʲe
stambolovo, hask	0	jˈeɡnʲə
starmen, bel	0	ˈɑɡni
stoilovo, mt	0	jˈɑɡne
straldzha, jamb	0	ˈɑɡni
stroevo, plov	0	jˈeɡni
suhindol, vtarn	0	ˈɑɡni
sushica, blgr	0	jˈɑɡne
svetlina, topgr	0	ˈɑɡni
svirkovo, harm	0	jˈɑɡnɪ
tihomir, krgr	0	ˈɛɡne
tihomirovo, stzag	0	ˈɑɡni
topolchane, sliv	0	ˈɑɡni
trancovica, nik	0	jˈɑɡne
trastenik, plev	0	jˈɑɡne
ustovo, sm	0	jˈɛɡne
vabel, nik	0	ˈɑɡni
vaklinovo, gd	0	jˈɑɡne
valche pole, svgr	0	jˈɑɡne
varbica, presl	0	ˈɑɡni
varbovo, blgr	0	jˈɑɡnʲe
vardun, targ	0	ˈɑɡni
varvara, paz	0	jˈɑɡne
vasiljovo, tetev	0	ˈɑɡne
velkovci, pk	0	jˈɑɡne
vinarovo, vid	0	jˈɑɡne
vinishte, mont	0	jˈɑɡne
vladinja, lov	0	ˈɑɡni
voden, elh	0	jˈɑɡne
vojnjagovo, karl	0	ˈɑɡni
vrachesh, botgr	0	jˈɑɡne
vranilovci, gabr	0	ˈɑɡni
vresovo, ajt	0	ˈɑɡni
zabardo, asgr	0	jˈɛɡne
zabernovo, mt	0	jˈɑɡne
zamfirovo, berk	0	jˈɑɡne
zanozhene, berk	0	jˈɑɡne
zdravkovec, gabr	0	ˈɑɡni
zelenigrad, tran	0	jˈɑɡnʲe
zhaltusha, ard	0	jˈɛɡne
zheglica, vid	0	jˈɑɡnʲe
zhelen, svog	0	jˈɑɡne
zheljazkovo, sred	0	jˈɛɡne
zheravna, kot	0	ˈɑɡni
aldomirovci, slivnica	1	jˈɑ
asparuhovo, lom	1	jˈɑ
asparuhovo, prov	1	ˈɑs
babjak, razl	1	jˈɑ
bachkovo, asgr	1	jˈɑs
bagrenci, kjust	1	jˈɑ
balgari, carev	1	jˈɑ
banishte, brezn	1	jˈɑ
bansko, razl	1	jˈɑ
beglezh, luk	1	ˈɑs
belene, svisht	1	ˈɑs
belica, razl	1	jˈɑ
bistrica, blgr	1	jˈɑ
bogdanov dol, pern	1	jˈɑs
borisovo, elh	1	ˈɑs
bov, svog	1	jˈɑ
brashljan, mtarn	1	jˈɑ
buchin prohod, god	1	jˈɑ
caparevo, sand	1	jˈɑs
cerovica, kjust	1	jˈɑ
chepelare, asgr	1	jˈɛ
chernogorovo, paz	1	ˈɑs
chernomorec, bs	1	ˈɑs
chukovec, radom	1	jˈɑ
dermanci, luk	1	ˈɑze
devenci, luk	1	jˈɑs
devesilica, krgr	1	jˈɛ
dichin, vtarn	1	ˈɑs
dinevo, hask	1	jˈɑ
diva slatina, mont	1	jˈɑ
divdjadovo, shum	1	ˈɑs
dobarsko, razl	1	jˈɑ
dobroselec, topgr	1	ˈɑs
dobroslavci, sof	1	jˈɑ
dobrotino, gd	1	jˈɑs
dolna beshovica, vrach	1	jˈɑ
dolna dikanja, radom	1	jˈɑ
dolna melna, tran	1	jˈɑ
dolna riksa, mont	1	jˈɑ
dolna srudena, bel	1	ˈɑs
dolni bogrov, sof	1	jˈɑ
dolno levski, pan	1	ˈɑs
dorkovo, velgr	1	ˈes
drabishna, ivgr	1	jˈɑ
dragizhevo, vtarn	1	ˈɑs
dragodanovo, sliv	1	ˈɑs
dragoevo, presl	1	ˈɑs
dragojchinci, kjust	1	jˈɑ
elov dol, pk	1	jˈɑ
enina, kaz	1	ˈɑs
ezerovo, parvom	1	jˈɑ
furen, vrach	1	jˈɑ
gabare, bslat	1	jˈɑ
gabra, elpel	1	jˈɑ
galata, tetev	1	ˈɑs
ganchovec, drjan	1	ˈɑs
garmen, gd	1	jˈɑs
garvan, sil	1	ˈɑs
gega, petr	1	jˈɑs
glozhene, orjah	1	jˈɑ
golema rakovica, elpel	1	jˈɑ
golemo malovo, sliven	1	jˈɑ
golica, varn	1	ˈɒs
goljama zheljazna, tetev	1	ˈɑs
goljamo shivachevo, sliv	1	ˈɑs
gorna rosica, sevl	1	ˈɑs
gorni varpishta, drjan	1	ˈɑs
govedarci, sam	1	jˈɑ
gradec, vd	1	jˈɑ
huhla, ivgr	1	jˈɑ
hvojna, asgr	1	jˈɑ
indzhe vojvoda, mtarn	1	jˈɑ
ivanski, shum	1	ˈɑs
izvorovo, harm	1	jˈɑ
javorovo, asgr	1	jˈɑs
kalipetrovo, sil	1	ˈɑs
kalojanovo, plov	1	ˈɑs
karaisen, pavl	1	ˈɑs
karanovo, ajt	1	ˈɑs
kaspichan, np	1	ˈɑs
kolju marinovo, chirp	1	ˈɑs
konska, brezn	1	jˈɑ
kopilovci, mont	1	jˈɑ
koprivshtica, pird	1	ˈɑs
korten, nzag	1	ˈɑs
kostenec, iht	1	jˈɑ
kovachevci, sam	1	jˈɑ
kozichino, pom	1	ˈɒs
kramolin, sevl	1	ˈɑs
kravenik, sevl	1	ˈɑs
kreta, vrach	1	jˈɑ
krivnja, razgr	1	ˈɑs
levunovo, sand	1	jˈɑs
liljache, vr	1	jˈɑ
lipnica, botgr	1	jˈɑ
ljubenova mahala, nzag	1	ˈɑs
lobosh, rad	1	jˈɑ
lozen, sof	1	jˈɑ
malomirovo, elh	1	ˈɑs
marchaevo, sof	1	jˈɑ
marikostinovo, petr	1	jˈɑs
markovo, shum	1	ˈɑs
merdanja, vtarn	1	ˈɑs
merichleri, chirp	1	jˈɑ
mihalci, pavl	1	ˈɑs
milchina laka, kul	1	jˈɑ
momchilovci, smol	1	ˈɛ
momina banja, pl	1	ˈɑs
momina klisura, pz	1	jˈɑ
momkovo, svgr	1	jˈɑs
mugla, dev	1	jˈɛ
nikolovo(lipnik), rus	1	ˈɑs
nikolovo, hask	1	jˈɑ
noevci, brezn	1	jˈɑ
nova lovcha, gd	1	jˈɑs
nova nadezhda, hs	1	jˈɑ
novo selo, trojan	1	ˈɑs
ognen, karn	1	ˈɑs
omarchevo, nzag	1	ˈɑs
opan, stzag	1	jˈɑ
osenec, razgr	1	ˈɑs
panagjurishte, gd	1	ˈɑs
paskalevec, pavl	1	ˈɑs
pavelsko, asgr	1	jˈɑ
pelatikovo, kjust	1	jˈɑ
petarnica, plev	1	ˈɑs
pevec, targ	1	ˈɑs
plakovo, vt	1	ˈɑs
podvis, karn	1	ˈɑs
pozharevo, tutr	1	ˈɑs
rabisha, belgr	1	jˈɑ
radovene, vr	1	jˈɑ
rakevo, vr	1	jˈɑ
rakovica, kul	1	jˈɑ
rani lug, tryn	1	jˈɑ
razboishte, god	1	jˈɑ
ruzhinci, belgr	1	jˈɑ
sadina, pop	1	ˈɑs
saparevo, dup	1	jˈɑ
sekirovo, plov	1	ˈɑs
senokos, blgr	1	jˈɑ
sestrino, petr	1	jˈɑs
shipka, kaz	1	ˈɑs
shiroka laka, dev	1	ˈɛ
shiroki dol, sam	1	jˈɑ
shtipsko, prov	1	ˈɑs
skobelevo, sliv	1	ˈɑs
slaveino, smol	1	jˈɛ
slavjanovo, plev	1	ˈɑs
smochevo, dupn	1	jˈɑs
smolsko, pird	1	ˈɑz
solishta, dev	1	jˈɛ
sredec, zlgr	1	jˈɑ
stakevci, blgr.	1	jˈɑ
stambolovo, hask	1	jˈɑ
starmen, bel	1	ˈɑs
stoilovo, mt	1	jˈɑ
straldzha, jamb	1	ˈɑs
stroevo, plov	1	ˈɑs
suhindol, vtarn	1	ˈɑs
sushica, blgr	1	jˈɑ
svetlina, topgr	1	ˈɑs
svirkovo, harm	1	jˈɑ
tihomir, krgr	1	jˈɛ
tihomirovo, stzag	1	ˈɑs
topolchane, sliv	1	ˈɑs
trancovica, nik	1	ˈɑs
trastenik, plev	1	ˈɑs
ustovo, sm	1	jˈɛ
vabel, nik	1	ˈɑs
vaklinovo, gd	1	jˈɑ
valche pole, svgr	1	jˈɑ
varbica, presl	1	ˈɑs
varbovo, blgr	1	jˈɑ
vardun, targ	1	ˈɑs
varvara, paz	1	jˈɑ
vasiljovo, tetev	1	ˈɑs
velkovci, pk	1	jˈɑ
vinarovo, vid	1	jɑ
vinishte, mont	1	jˈɑ
vladinja, lov	1	ˈɑs
voden, elh	1	jˈɑs
vojnjagovo, karl	1	ˈɑs
vrachesh, botgr	1	jˈɑ
vranilovci, gabr	1	ˈɑs
vresovo, ajt	1	ˈɑs
zabardo, asgr	1	jˈɛ
zabernovo, mt	1	jˈɑ
zamfirovo, berk	1	jˈɑ
zanozhene, berk	1	jˈɑ
zdravkovec, gabr	1	ˈɑs
zelenigrad, tran	1	jˈɑ
zhaltusha, ard	1	jˈɛ
zheglica, vid	1	jˈɑ
zhelen, svog	1	jˈɑ
zheljazkovo, sred	1	jˈɛs
zheravna, kot	1	ˈɑs
aldomirovci, slivnica	10	vˈed_ʒɑ
asparuhovo, lom	10	*vˈeʒdɑ
asparuhovo, prov	10	*vʲˈeʒdə
babjak, razl	10	vˈɛʒd_ʒə
bachkovo, asgr	10	vˈeʑɡə
bagrenci, kjust	10	vˈeʒdɑ
balgari, carev	10	vʲˈɛʃkə
banishte, brezn	10	vˈed_ʒɑ
bansko, razl	10	vˈɛʒə
beglezh, luk	10	vʲˈɑʒdɤ
belene, svisht	10	vʲˈeʒdə
belica, razl	10	vˈeʒdə
bistrica, blgr	10	vˈeʒdɑ
bogdanov dol, pern	10	vˈeʒdɑ
borisovo, elh	10	vˈeʒdɤ
bov, svog	10	vˈeʒdɑ
brashljan, mtarn	10	vˈɛʒɡə
buchin prohod, god	10	vˈeʒdɑ
caparevo, sand	10	vˈeʒdɑ
cerovica, kjust	10	vˈeʒdɑ
chepelare, asgr	10	vˈɛɕkə
chernogorovo, paz	10	vˈeʒɡɑ
chernomorec, bs	10	vʲˈeʃkə
chukovec, radom	10	vˈeʒdɑ
dermanci, luk	10	*vˈɛʒdɑ
devenci, luk	10	vˈeʒdɤ
devesilica, krgr	10	vˈɛɕkə
dichin, vtarn	10	vʲˈeʒdə
dinevo, hask	10	vʲˈeɕkə
diva slatina, mont	10	vˈed_ʒɑ
divdjadovo, shum	10	vˈɛʒdə
dobarsko, razl	10	vˈɛʃkə
dobroselec, topgr	10	*vˈeʃkɤ
dobroslavci, sof	10	vˈeʒdɑ
dobrotino, gd	10	vʲˈɑʃkə
dolna beshovica, vrach	10	veʒdˈɤ
